ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,All publication types,18.184129742037182,2005
All AI research,CHN,China (People's Republic of),All works,All publication types,23.16207555404162,2006
All AI research,CHN,China (People's Republic of),All works,All publication types,25.851669914316364,2007
All AI research,CHN,China (People's Republic of),All works,All publication types,28.33272835007108,2008
All AI research,CHN,China (People's Republic of),All works,All publication types,29.25830516953554,2009
All AI research,CHN,China (People's Republic of),All works,All publication types,28.545959315416074,2010
All AI research,CHN,China (People's Republic of),All works,All publication types,26.183768409106708,2011
All AI research,CHN,China (People's Republic of),All works,All publication types,22.98315304219441,2012
All AI research,CHN,China (People's Republic of),All works,All publication types,21.102764334688953,2013
All AI research,CHN,China (People's Republic of),All works,All publication types,18.994045743343243,2014
All AI research,CHN,China (People's Republic of),All works,All publication types,16.9475330308452,2015
All AI research,CHN,China (People's Republic of),All works,All publication types,15.401708882407863,2016
All AI research,CHN,China (People's Republic of),All works,All publication types,16.243431743277473,2017
All AI research,CHN,China (People's Republic of),All works,All publication types,18.632551494174855,2018
All AI research,CHN,China (People's Republic of),All works,All publication types,20.31295930511365,2019
All AI research,CHN,China (People's Republic of),All works,All publication types,20.60544850383459,2020
All AI research,CHN,China (People's Republic of),All works,All publication types,23.771901101560733,2021
All AI research,CHN,China (People's Republic of),All works,All publication types,29.071030251403762,2022
All AI research,CHN,China (People's Republic of),All works,All publication types,29.305402334973802,2023
All AI research,CHN,China (People's Republic of),All works,All publication types,32.96410593554805,2024
All AI research,CHN,China (People's Republic of),All works,All publication types,34.84465752823738,2025
All AI research,USA,United States,All works,All publication types,27.71074144655685,2000
All AI research,USA,United States,All works,All publication types,26.332846164517406,2001
All AI research,USA,United States,All works,All publication types,30.240151089652606,2002
All AI research,USA,United States,All works,All publication types,28.689173055651196,2003
All AI research,USA,United States,All works,All publication types,21.67494266187872,2004
All AI research,USA,United States,All works,All publication types,22.806756223050986,2005
All AI research,USA,United States,All works,All publication types,18.770503568158354,2006
All AI research,USA,United States,All works,All publication types,17.35824548583811,2007
All AI research,USA,United States,All works,All publication types,15.606491209711777,2008
All AI research,USA,United States,All works,All publication types,15.59293461039932,2009
All AI research,USA,United States,All works,All publication types,14.973322987948972,2010
All AI research,USA,United States,All works,All publication types,15.421927879960759,2011
All AI research,USA,United States,All works,All publication types,14.994436962921275,2012
All AI research,USA,United States,All works,All publication types,14.921197316125312,2013
All AI research,USA,United States,All works,All publication types,14.573679934622131,2014
All AI research,USA,United States,All works,All publication types,15.62247935056896,2015
All AI research,USA,United States,All works,All publication types,15.83395586713167,2016
All AI research,USA,United States,All works,All publication types,16.582607740322096,2017
