geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
are,1973,4.58,False
are,1974,4.71,False
are,1975,4.83,False
are,1976,4.96,False
are,1977,5.09,False
are,1978,5.23,False
are,1979,5.37,False
are,1980,5.52,False
are,1981,5.67,False
are,1982,5.83,False
are,1983,5.99,False
are,1984,6.16,False
are,1985,6.33,False
are,1986,6.51,False
are,1987,6.7,False
are,1988,6.89,False
are,1989,7.09,False
are,1990,7.3,False
are,1991,7.52,False
are,1992,7.75,False
are,1993,7.99,False
are,1994,8.24,False
are,1995,8.5,False
are,1996,8.71,False
are,1997,8.91,False
are,1998,9.11,False
are,1999,9.3,False
are,2000,9.5,False
are,2001,9.68,False
are,2002,9.87,False
are,2003,10.04,False
are,2004,10.22,False
are,2005,10.39,False
are,2006,10.56,False
are,2007,10.73,False
are,2008,10.89,False
are,2009,11.05,False
are,2010,11.21,False
are,2011,11.37,False
are,2012,11.52,False
are,2013,11.67,False
are,2014,11.82,False
are,2015,11.97,False
are,2016,12.119528902639217,True
are,2017,12.268628768270375,True
are,2018,12.417300827911363,True
are,2019,12.565546309047967,True
are,2020,12.713366435643993,True
are,2021,12.860762428151382,True
are,2022,13.007735503520284,True
are,2023,13.154286875209104,True
are,2024,13.300417753194523,True
arg,1970,6.61,False
arg,1971,6.73,False
arg,1972,6.84,False
arg,1973,6.96,False
arg,1974,7.07,False
arg,1975,7.19,False
arg,1976,7.31,False
arg,1977,7.42,False
arg,1978,7.54,False
arg,1979,7.65,False
arg,1980,7.77,False
arg,1981,7.88,False
arg,1982,7.99,False
arg,1983,8.11,False
arg,1984,8.22,False
arg,1985,8.33,False
arg,1986,8.44,False
arg,1987,8.55,False
arg,1988,8.66,False
arg,1989,8.76,False
arg,1990,8.86,False
arg,1991,8.96,False
arg,1992,9.06,False
arg,1993,9.16,False
arg,1994,9.26,False
arg,1995,9.35,False
arg,1996,9.45,False
arg,1997,9.56,False
arg,1998,9.66,False
arg,1999,9.78,False
arg,2000,9.89,False
arg,2001,10.0,False
arg,2002,10.12,False
arg,2003,10.24,False
arg,2004,10.36,False
arg,2005,10.48,False
arg,2006,10.6,False
arg,2007,10.73,False
arg,2008,10.85,False
arg,2009,10.98,False
arg,2010,11.1,False
arg,2011,11.23,False
arg,2012,11.36,False
arg,2013,11.49,False
arg,2014,11.62,False
arg,2015,11.74,False
arg,2016,11.865014767765865,True
arg,2017,11.989991420775306,True
arg,2018,12.114929970648825,True
arg,2019,12.239830429003387,True
arg,2020,12.36469280745241,True
arg,2021,12.489517117605773,True
arg,2022,12.614303371069816,True
arg,2023,12.73905157944734,True
arg,2024,12.863761754337606,True
arm,1970,6.1,False
arm,1971,6.22,False
arm,1972,6.34,False
arm,1973,6.45,False
arm,1974,6.57,False
arm,1975,6.69,False
arm,1976,6.81,False
arm,1977,6.93,False
arm,1978,7.04,False
arm,1979,7.16,False
arm,1980,7.28,False
arm,1981,7.4,False
arm,1982,7.52,False
arm,1983,7.64,False
arm,1984,7.76,False
arm,1985,7.88,False
arm,1986,8.0,False
arm,1987,8.11,False
arm,1988,8.23,False
arm,1989,8.34,False
arm,1990,8.46,False
arm,1991,8.57,False
arm,1992,8.69,False
arm,1993,8.8,False
arm,1994,8.91,False
arm,1995,9.03,False
arm,1996,9.14,False
arm,1997,9.25,False
arm,1998,9.37,False
arm,1999,9.49,False
arm,2000,9.61,False
arm,2001,9.73,False
arm,2002,9.86,False
arm,2003,9.99,False
arm,2004,10.12,False
arm,2005,10.25,False
arm,2006,10.38,False
arm,2007,10.51,False
arm,2008,10.65,False
arm,2009,10.79,False
arm,2010,10.92,False
arm,2011,11.06,False
arm,2012,11.2,False
arm,2013,11.34,False
arm,2014,11.48,False
arm,2015,11.62,False
arm,2016,11.759656888255371,True
arm,2017,11.899280272420404,True
arm,2018,12.038870160532824,True
arm,2019,12.17842656062843,True
arm,2020,12.317949480741097,True
arm,2021,12.457438928902768,True
arm,2022,12.596894913143458,True
arm,2023,12.736317441491263,True
arm,2024,12.875706521972344,True
atg,1970,7.46,False
atg,1971,7.59,False
atg,1972,7.72,False
atg,1973,7.86,False
atg,1974,7.99,False
atg,1975,8.12,False
atg,1976,8.26,False
atg,1977,8.4,False
atg,1978,8.53,False
atg,1979,8.67,False
atg,1980,8.81,False
atg,1981,8.94,False
atg,1982,9.08,False
atg,1983,9.22,False
atg,1984,9.36,False
atg,1985,9.5,False
atg,1986,9.64,False
atg,1987,9.78,False
atg,1988,9.92,False
atg,1989,10.05,False
atg,1990,10.19,False
atg,1991,10.33,False
atg,1992,10.47,False
atg,1993,10.61,False
atg,1994,10.75,False
atg,1995,10.89,False
atg,1996,11.02,False
atg,1997,11.16,False
atg,1998,11.3,False
atg,1999,11.43,False
atg,2000,11.57,False
atg,2001,11.7,False
atg,2002,11.84,False
atg,2003,11.97,False
atg,2004,12.11,False
atg,2005,12.24,False
atg,2006,12.37,False
atg,2007,12.5,False
atg,2008,12.63,False
atg,2009,12.76,False
atg,2010,12.89,False
atg,2011,13.02,False
atg,2012,13.14,False
atg,2013,13.27,False
atg,2014,13.39,False
atg,2015,13.52,False
atg,2016,13.646707967205337,True
atg,2017,13.773368541500721,True
atg,2018,13.899981740612644,True
atg,2019,14.026547582260967,True
atg,2020,14.153066084158928,True
atg,2021,14.279537264013134,True
atg,2022,14.405961139523574,True
atg,2023,14.532337728383615,True
atg,2024,14.658667048280003,True
aus,1970,9.06,False
aus,1971,9.2,False
aus,1972,9.34,False
aus,1973,9.48,False
aus,1974,9.62,False
aus,1975,9.76,False
aus,1976,9.9,False
aus,1977,10.04,False
aus,1978,10.17,False
aus,1979,10.31,False
aus,1980,10.45,False
aus,1981,10.59,False
aus,1982,10.72,False
aus,1983,10.86,False
aus,1984,10.99,False
aus,1985,11.12,False
aus,1986,11.25,False
aus,1987,11.38,False
aus,1988,11.51,False
aus,1989,11.64,False
aus,1990,11.76,False
aus,1991,11.88,False
aus,1992,12.0,False
aus,1993,12.12,False
aus,1994,12.24,False
aus,1995,12.36,False
aus,1996,12.47,False
aus,1997,12.59,False
aus,1998,12.71,False
aus,1999,12.82,False
aus,2000,12.94,False
aus,2001,13.06,False
aus,2002,13.17,False
aus,2003,13.29,False
aus,2004,13.4,False
aus,2005,13.52,False
aus,2006,13.64,False
aus,2007,13.75,False
aus,2008,13.87,False
aus,2009,13.98,False
aus,2010,14.1,False
aus,2011,14.21,False
aus,2012,14.32,False
aus,2013,14.43,False
aus,2014,14.55,False
aus,2015,14.66,False
aus,2016,14.772719493217073,True
aus,2017,14.885382210035528,True
aus,2018,14.997988179053433,True
aus,2019,15.110537428854446,True
aus,2020,15.22302998800783,True
aus,2021,15.33546588506846,True
aus,2022,15.447845148576825,True
aus,2023,15.560167807059038,True
aus,2024,15.672433889026847,True
aut,1970,7.24,False
aut,1971,7.35,False
aut,1972,7.46,False
aut,1973,7.57,False
aut,1974,7.68,False
aut,1975,7.79,False
aut,1976,7.89,False
aut,1977,8.0,False
aut,1978,8.1,False
aut,1979,8.2,False
aut,1980,8.3,False
aut,1981,8.4,False
aut,1982,8.5,False
aut,1983,8.6,False
aut,1984,8.69,False
aut,1985,8.78,False
aut,1986,8.87,False
aut,1987,8.96,False
aut,1988,9.05,False
aut,1989,9.13,False
aut,1990,9.21,False
aut,1991,9.29,False
aut,1992,9.37,False
aut,1993,9.44,False
aut,1994,9.51,False
aut,1995,9.58,False
aut,1996,9.67,False
aut,1997,9.77,False
aut,1998,9.87,False
aut,1999,9.97,False
aut,2000,10.08,False
aut,2001,10.19,False
aut,2002,10.3,False
aut,2003,10.41,False
aut,2004,10.53,False
aut,2005,10.65,False
aut,2006,10.77,False
aut,2007,10.9,False
aut,2008,11.02,False
aut,2009,11.15,False
aut,2010,11.28,False
aut,2011,11.41,False
aut,2012,11.54,False
aut,2013,11.67,False
aut,2014,11.8,False
aut,2015,11.93,False
aut,2016,12.059859886336813,True
aut,2017,12.189593406811783,True
aut,2018,12.319200684390756,True
aut,2019,12.448681841919925,True
aut,2020,12.578037002125937,True
aut,2021,12.707266287616019,True
aut,2022,12.836369820878087,True
aut,2023,12.965347724280866,True
aut,2024,13.094200120074005,True
aze,1970,6.75,False
aze,1971,6.87,False
aze,1972,7.0,False
aze,1973,7.12,False
aze,1974,7.25,False
aze,1975,7.37,False
aze,1976,7.5,False
aze,1977,7.63,False
