geo,time,income_per_person_long_series,is_forecasted
abw,2016,36846.98499802151,True
abw,2017,36943.55489694666,True
abw,2018,37004.937533504315,True
abw,2019,37043.954122655865,True
abw,2020,37068.75420154448,True
abw,2021,37084.51785301315,True
abw,2022,37094.537688383105,True
abw,2023,37100.90658717794,True
abw,2024,37104.95484449566,True
afg,1800,634.4,False
afg,1801,634.4,False
afg,1802,634.4,False
afg,1803,634.4,False
afg,1804,634.4,False
afg,1805,634.4,False
afg,1806,634.4,False
afg,1807,634.4,False
afg,1808,634.4,False
afg,1809,634.4,False
afg,1810,634.4,False
afg,1811,634.4,False
afg,1812,634.4,False
afg,1813,634.4,False
afg,1814,634.4,False
afg,1815,634.4,False
afg,1816,634.4,False
afg,1817,634.4,False
afg,1818,634.4,False
afg,1819,634.4,False
afg,1820,634.4,False
afg,1821,636.5,False
afg,1822,638.5,False
afg,1823,640.6,False
afg,1824,642.7,False
afg,1825,644.8,False
afg,1826,646.9,False
afg,1827,649.0,False
afg,1828,651.1,False
afg,1829,653.2,False
afg,1830,655.3,False
afg,1831,657.5,False
afg,1832,659.6,False
afg,1833,661.7,False
afg,1834,663.9,False
afg,1835,666.0,False
afg,1836,668.2,False
afg,1837,670.4,False
afg,1838,672.6,False
afg,1839,674.8,False
afg,1840,676.9,False
afg,1841,679.1,False
afg,1842,681.4,False
afg,1843,683.6,False
afg,1844,685.8,False
afg,1845,688.0,False
afg,1846,690.3,False
afg,1847,692.5,False
afg,1848,694.8,False
afg,1849,697.0,False
afg,1850,699.3,False
afg,1851,701.6,False
afg,1852,703.8,False
afg,1853,706.1,False
afg,1854,708.4,False
afg,1855,710.7,False
afg,1856,713.0,False
afg,1857,715.3,False
afg,1858,717.7,False
afg,1859,720.0,False
afg,1860,722.3,False
afg,1861,724.7,False
afg,1862,727.0,False
afg,1863,729.4,False
afg,1864,731.8,False
afg,1865,734.2,False
afg,1866,736.5,False
afg,1867,738.9,False
afg,1868,741.3,False
afg,1869,743.8,False
afg,1870,746.2,False
afg,1871,748.6,False
afg,1872,751.0,False
afg,1873,753.5,False
afg,1874,755.9,False
afg,1875,758.4,False
afg,1876,760.8,False
afg,1877,763.3,False
afg,1878,765.8,False
afg,1879,768.3,False
afg,1880,770.8,False
afg,1881,773.3,False
afg,1882,775.8,False
afg,1883,778.3,False
afg,1884,780.9,False
afg,1885,783.4,False
afg,1886,785.9,False
afg,1887,788.5,False
afg,1888,791.1,False
afg,1889,793.6,False
afg,1890,796.2,False
afg,1891,798.8,False
afg,1892,801.4,False
afg,1893,804.0,False
afg,1894,806.6,False
afg,1895,809.2,False
afg,1896,811.9,False
afg,1897,814.5,False
afg,1898,817.2,False
afg,1899,819.8,False
afg,1900,822.5,False
afg,1901,825.2,False
afg,1902,827.8,False
afg,1903,830.5,False
afg,1904,833.2,False
afg,1905,835.9,False
afg,1906,838.7,False
afg,1907,841.4,False
afg,1908,844.1,False
afg,1909,846.9,False
afg,1910,849.6,False
afg,1911,852.4,False
afg,1912,855.1,False
afg,1913,857.9,False
afg,1914,861.9,False
afg,1915,865.9,False
afg,1916,869.9,False
afg,1917,873.9,False
afg,1918,878.0,False
afg,1919,882.0,False
afg,1920,886.1,False
afg,1921,890.2,False
afg,1922,894.3,False
afg,1923,898.5,False
afg,1924,902.6,False
afg,1925,906.8,False
afg,1926,911.0,False
afg,1927,915.2,False
afg,1928,919.5,False
afg,1929,923.7,False
afg,1930,928.0,False
afg,1931,932.3,False
afg,1932,936.6,False
afg,1933,940.9,False
afg,1934,945.3,False
afg,1935,949.7,False
afg,1936,954.1,False
afg,1937,958.5,False
afg,1938,962.9,False
afg,1939,967.4,False
afg,1940,971.8,False
afg,1941,976.3,False
afg,1942,980.9,False
afg,1943,985.4,False
afg,1944,990.0,False
afg,1945,994.5,False
afg,1946,999.1,False
afg,1947,1004.0,False
afg,1948,1008.0,False
afg,1949,1013.0,False
afg,1950,1018.0,False
afg,1951,1030.0,False
afg,1952,1048.0,False
afg,1953,1092.0,False
afg,1954,1096.0,False
afg,1955,1097.0,False
afg,1956,1125.0,False
afg,1957,1103.0,False
afg,1958,1142.0,False
afg,1959,1151.0,False
afg,1960,1167.0,False
afg,1961,1152.0,False
afg,1962,1146.0,False
afg,1963,1142.0,False
afg,1964,1137.0,False
afg,1965,1136.0,False
afg,1966,1120.0,False
afg,1967,1124.0,False
afg,1968,1136.0,False
afg,1969,1126.0,False
afg,1970,1120.0,False
afg,1971,1040.0,False
afg,1972,994.5,False
afg,1973,1080.0,False
afg,1974,1110.0,False
afg,1975,1138.0,False
afg,1976,1164.0,False
afg,1977,1056.0,False
afg,1978,1112.0,False
afg,1979,1087.0,False
afg,1980,1089.0,False
afg,1981,1205.0,False
afg,1982,1314.0,False
afg,1983,1362.0,False
afg,1984,1337.0,False
afg,1985,1293.0,False
afg,1986,1385.0,False
afg,1987,1146.0,False
afg,1988,1035.0,False
afg,1989,1010.0,False
afg,1990,953.5,False
afg,1991,948.1,False
afg,1992,872.7,False
afg,1993,751.1,False
afg,1994,672.6,False
afg,1995,808.9,False
afg,1996,830.4,False
afg,1997,853.8,False
afg,1998,878.0,False
afg,1999,901.8,False
afg,2000,892.2,False
afg,2001,799.7,False
afg,2002,976.7,False
afg,2003,1055.0,False
afg,2004,1081.0,False
afg,2005,1175.0,False
afg,2006,1193.0,False
afg,2007,1322.0,False
afg,2008,1323.0,False
afg,2009,1552.0,False
afg,2010,1632.0,False
afg,2011,1695.0,False
afg,2012,1885.0,False
afg,2013,1907.0,False
afg,2014,1923.0,False
afg,2015,1963.0,False
afg,2016,2016.0,False
afg,2017,2072.0,False
afg,2018,2134.0,False
afg,2019,2206.0,False
afg,2020,2247.9949411360453,True
afg,2021,2286.3849285131255,True
afg,2022,2321.4794206339247,True
afg,2023,2353.5613112873234,True
afg,2024,2382.889209931756,True
ago,1800,650.0,False
ago,1801,652.8,False
ago,1802,655.5,False
ago,1803,658.3,False
ago,1804,661.1,False
ago,1805,663.9,False
ago,1806,666.8,False
ago,1807,669.6,False
ago,1808,672.4,False
ago,1809,675.3,False
ago,1810,678.2,False
ago,1811,681.1,False
ago,1812,684.0,False
ago,1813,686.9,False
ago,1814,689.8,False
ago,1815,692.7,False
ago,1816,695.7,False
ago,1817,698.6,False
ago,1818,701.6,False
ago,1819,704.6,False
ago,1820,707.6,False
ago,1821,710.6,False
ago,1822,713.6,False
ago,1823,716.6,False
ago,1824,719.7,False
ago,1825,722.8,False
ago,1826,725.8,False
ago,1827,728.9,False
ago,1828,732.0,False
ago,1829,735.1,False
ago,1830,738.3,False
ago,1831,741.4,False
ago,1832,744.6,False
ago,1833,747.7,False
ago,1834,750.9,False
ago,1835,754.1,False
ago,1836,757.3,False
ago,1837,760.5,False
ago,1838,763.8,False
ago,1839,767.0,False
ago,1840,770.3,False
ago,1841,773.5,False
ago,1842,776.8,False
ago,1843,780.1,False
ago,1844,783.5,False
ago,1845,786.8,False
ago,1846,790.1,False
ago,1847,793.5,False
ago,1848,796.9,False
ago,1849,800.3,False
ago,1850,803.7,False
ago,1851,807.1,False
ago,1852,810.5,False
ago,1853,814.0,False
ago,1854,817.4,False
ago,1855,820.9,False
ago,1856,824.4,False
ago,1857,827.9,False
ago,1858,831.4,False
ago,1859,834.9,False
ago,1860,838.5,False
ago,1861,842.1,False
ago,1862,845.6,False
ago,1863,849.2,False
ago,1864,852.9,False
ago,1865,856.5,False
ago,1866,860.1,False
ago,1867,863.8,False
ago,1868,867.5,False
ago,1869,871.1,False
ago,1870,874.9,False
ago,1871,878.6,False
ago,1872,882.3,False
ago,1873,886.1,False
ago,1874,889.8,False
ago,1875,893.6,False
ago,1876,897.4,False
ago,1877,901.2,False
ago,1878,905.1,False
ago,1879,908.9,False
ago,1880,912.8,False
ago,1881,916.7,False
ago,1882,920.6,False
ago,1883,924.5,False
ago,1884,928.4,False
