geo,time,cell_phones_per_100_people,is_forecasted
and,1990,0.0,False
and,1991,0.0,False
and,1992,1.3442,False
and,1993,1.31855,False
and,1994,1.28447,False
and,1995,4.48926,False
and,1996,8.55535,False
and,1997,13.32364,False
and,1998,21.65649,False
and,1999,31.37613,False
and,2000,35.8423,False
and,2001,44.6896,False
and,2002,49.3038,False
and,2003,74.6812,False
and,2004,78.5281,False
and,2005,83.3882,False
and,2006,86.7048,False
and,2007,77.559,False
and,2008,76.8932,False
and,2009,76.9466,False
and,2010,81.1526,False
and,2011,83.6224,False
and,2012,83.1208,False
and,2013,85.0214,False
and,2014,89.8341,False
and,2015,98.8389,False
and,2016,105.474,False
and,2017,108.912,False
and,2018,109.915,False
and,2019,114.953,False
and,2020,103.877,False
and,2021,119.688,False
and,2022,142.426,False
and,2023,156.097,False
and,2024,166.2392181097682,True
are,1982,0.19951,False
are,1983,0.28798,False
are,1984,0.37727,False
are,1985,0.5744,False
are,1986,0.76197,False
are,1987,0.87004,False
are,1988,0.821,False
are,1989,1.3922,False
are,1990,1.76712,False
are,1991,2.14142,False
are,1992,2.31161,False
are,1993,3.17485,False
are,1994,3.92817,False
are,1995,5.29863,False
are,1996,7.53416,False
are,1997,11.26583,False
are,1998,16.88655,False
are,1999,26.86844,False
are,2000,40.8783,False
are,2001,51.2759,False
are,2002,61.3641,False
are,2003,70.8971,False
are,2004,83.1597,False
are,2005,97.1993,False
are,2006,110.185,False
are,2007,137.458,False
are,2008,148.473,False
are,2009,159.114,False
are,2010,157.473,False
are,2011,162.894,False
are,2012,183.741,False
are,2013,205.105,False
are,2014,204.192,False
are,2015,206.839,False
are,2016,220.412,False
are,2017,214.701,False
are,2018,214.842,False
are,2019,209.033,False
are,2020,194.468,False
are,2021,186.301,False
are,2022,195.625,False
are,2023,199.424,False
are,2024,201.37164914265978,True
arg,1960,0.0,False
arg,1965,0.0,False
arg,1970,0.0,False
arg,1975,0.0,False
arg,1976,0.0,False
arg,1977,0.0,False
arg,1978,0.0,False
arg,1979,0.0,False
arg,1980,0.0,False
arg,1981,0.0,False
arg,1982,0.0,False
arg,1983,0.0,False
arg,1984,0.0,False
arg,1985,0.0,False
arg,1986,0.0,False
arg,1987,0.0,False
arg,1988,0.0,False
arg,1989,0.00715,False
arg,1990,0.03677,False
arg,1991,0.07552,False
arg,1992,0.13879,False
arg,1993,0.32915,False
arg,1994,0.69925,False
arg,1995,1.16006,False
arg,1996,1.8848,False
arg,1997,5.60943,False
arg,1998,7.37131,False
arg,1999,10.50082,False
arg,2000,17.4342,False
arg,2001,17.9185,False
arg,2002,17.2676,False
arg,2003,20.4096,False
arg,2004,34.8114,False
arg,2005,56.4973,False
arg,2006,79.5273,False
arg,2007,100.962,False
arg,2008,115.052,False
arg,2009,128.462,False
arg,2010,138.252,False
arg,2011,145.511,False
arg,2012,152.574,False
arg,2013,158.191,False
arg,2014,142.325,False
arg,2015,142.241,False
arg,2016,145.147,False
arg,2017,139.758,False
arg,2018,131.224,False
arg,2019,125.303,False
arg,2020,121.181,False
arg,2021,130.353,False
arg,2022,131.484,False
arg,2023,137.706,False
arg,2024,142.12419589659896,True
arm,1960,0.0,False
arm,1965,0.0,False
arm,1970,0.0,False
arm,1975,0.0,False
arm,1976,0.0,False
arm,1977,0.0,False
arm,1978,0.0,False
arm,1979,0.0,False
arm,1980,0.0,False
arm,1981,0.0,False
arm,1982,0.0,False
arm,1983,0.0,False
arm,1984,0.0,False
arm,1985,0.0,False
arm,1986,0.0,False
arm,1987,0.0,False
arm,1988,0.0,False
arm,1989,0.0,False
arm,1990,0.0,False
arm,1991,0.0,False
arm,1992,0.0,False
arm,1993,0.0,False
arm,1994,0.0,False
arm,1995,0.0,False
arm,1996,0.00909,False
arm,1997,0.15284,False
arm,1998,0.24166,False
arm,1999,0.25455,False
arm,2000,0.55944,False
arm,2001,0.82688,False
arm,2002,2.335,False
arm,2003,3.76374,False
arm,2004,6.72643,False
arm,2005,10.5791,False
arm,2006,42.1272,False
arm,2007,63.0765,False
arm,2008,48.7164,False
arm,2009,74.4012,False
arm,2010,131.875,False
arm,2011,109.85,False
arm,2012,113.697,False
arm,2013,114.5,False
arm,2014,118.365,False
arm,2015,118.599,False
arm,2016,117.671,False
arm,2017,119.676,False
arm,2018,123.0,False
arm,2019,124.614,False
arm,2020,120.682,False
arm,2021,125.395,False
arm,2022,130.54,False
arm,2023,134.52,False
arm,2024,135.04847739138353,True
asm,1960,0.0,False
asm,1965,0.0,False
asm,1970,0.0,False
asm,1975,0.0,False
asm,1976,0.0,False
asm,1977,0.0,False
asm,1978,0.0,False
asm,1979,0.0,False
asm,1980,0.0,False
asm,1981,0.0,False
asm,1982,0.0,False
asm,1983,0.0,False
asm,1984,0.0,False
asm,1985,0.0,False
asm,1986,0.0,False
asm,1990,0.0,False
asm,1991,0.0,False
asm,1992,1.39782,False
asm,1993,1.75871,False
asm,1994,2.29498,False
asm,1995,2.34078,False
asm,1996,2.38532,False
asm,1997,2.51898,False
asm,1998,2.65004,False
asm,1999,3.12533,False
asm,2000,3.50365,False
asm,2001,3.77894,False
asm,2002,3.56805,False
asm,2003,3.68609,False
asm,2004,3.96001,False
asm,2013,4.066585038709997,True
asm,2014,4.159391683605046,True
asm,2015,4.240208668904136,True
asm,2016,4.31058493474393,True
asm,2017,4.371869314199856,True
asm,2018,4.42523638505081,True
asm,2019,4.471708981762978,True
asm,2020,4.512177799157951,True
asm,2021,4.547418463489472,True
asm,2022,4.578106398113458,True
asm,2023,4.6048297686670505,True
asm,2024,4.628100755864295,True
atg,1960,0.0,False
atg,1965,0.0,False
atg,1970,0.0,False
atg,1975,0.0,False
atg,1976,0.0,False
atg,1977,0.0,False
atg,1978,0.0,False
atg,1979,0.0,False
atg,1980,0.0,False
atg,1981,0.0,False
atg,1982,0.0,False
atg,1983,0.0,False
atg,1984,0.0,False
atg,1985,0.0,False
atg,1986,0.0,False
atg,1987,0.0,False
atg,1988,0.0,False
atg,1990,0.0,False
atg,1996,1.86252,False
atg,1997,1.9658,False
atg,1998,2.06691,False
atg,1999,11.51434,False
atg,2000,29.3678,False
atg,2001,32.8649,False
atg,2002,49.5963,False
atg,2003,59.1906,False
atg,2004,68.5984,False
atg,2005,108.025,False
atg,2006,136.689,False
atg,2007,137.547,False
atg,2008,164.743,False
atg,2009,160.295,False
atg,2010,196.871,False
atg,2011,203.873,False
atg,2012,145.979,False
atg,2013,129.858,False
atg,2014,135.235,False
atg,2015,196.848,False
atg,2016,200.069,False
atg,2017,203.387,False
atg,2019,201.392,False
atg,2020,200.335,False
atg,2021,199.244,False
atg,2022,200.541,False
atg,2023,200.90561055916024,True
atg,2024,200.92696818895251,True
aus,1960,0.0,False
aus,1965,0.0,False
aus,1970,0.0,False
aus,1975,0.0,False
aus,1976,0.0,False
aus,1977,0.0,False
aus,1978,0.0,False
aus,1979,0.0,False
aus,1980,0.0,False
aus,1981,0.0,False
aus,1982,0.0,False
aus,1983,0.0,False
aus,1984,0.0,False
aus,1985,0.0,False
aus,1986,0.0,False
aus,1987,0.0272,False
aus,1988,0.19135,False
aus,1989,0.56279,False
aus,1990,1.08484,False
aus,1991,1.68755,False
aus,1992,2.8461,False
aus,1993,3.91345,False
aus,1994,6.85181,False
aus,1995,12.45348,False
aus,1996,21.90882,False
aus,1997,24.86658,False
aus,1998,26.43849,False
aus,1999,33.58883,False
aus,2000,44.7511,False
aus,2001,57.4839,False
aus,2002,64.6582,False
aus,2003,72.3885,False
aus,2004,82.2081,False
aus,2005,90.7636,False
aus,2006,95.9663,False
aus,2007,101.458,False
aus,2008,103.507,False
aus,2009,101.914,False
aus,2010,101.619,False
aus,2011,105.824,False
aus,2012,106.5,False
aus,2013,107.332,False
aus,2014,106.206,False
aus,2015,107.608,False
aus,2016,109.129,False
aus,2017,107.8,False
aus,2018,110.033,False
aus,2019,109.753,False
aus,2020,104.93,False
aus,2021,105.119,False
aus,2022,109.469,False
aus,2023,112.513,False
aus,2024,114.32295199628183,True
aut,1960,0.0,False
aut,1965,0.0,False
aut,1970,0.0,False
aut,1975,0.0,False
aut,1976,0.0,False
aut,1977,0.0,False
aut,1978,0.0,False
aut,1979,0.0,False
aut,1980,0.0,False
aut,1981,0.0,False
aut,1982,0.0,False
aut,1983,0.0,False
aut,1984,0.0,False
aut,1985,0.12909,False
aut,1986,0.25246,False
aut,1987,0.3463,False
aut,1988,0.48662,False
aut,1989,0.66568,False
aut,1990,0.95977,False
aut,1991,1.48798,False
aut,1992,2.19943,False
aut,1993,2.79382,False
aut,1994,3.50581,False
aut,1995,4.82598,False
aut,1996,7.52331,False
aut,1997,14.55612,False
