geo,time,suicide_per_100000_people,is_forecasted
aut,2010,16.05188,False
aut,2011,16.26019,False
aut,2012,16.16859,False
aut,2013,16.09023,False
aut,2014,16.58685,False
aut,2015,16.06662,False
aut,2016,15.63208,False
aut,2017,15.49871,False
aut,2018,15.70386,False
aut,2019,14.58398,False
aut,2020,13.99738,False
aut,2021,14.51307,False
aut,2022,14.430001384713352,True
aut,2023,14.463330594443473,True
aut,2024,14.449958080439222,True
aze,2000,2.47562,False
aze,2001,2.4963,False
aze,2002,2.58371,False
aze,2003,2.79872,False
aze,2004,2.82595,False
aze,2005,3.19253,False
aze,2006,3.15153,False
aze,2007,2.97173,False
aze,2008,3.01757,False
aze,2009,2.79799,False
aze,2010,2.7629,False
aze,2011,2.72642,False
aze,2012,2.49316,False
aze,2013,2.25876,False
aze,2014,2.12818,False
aze,2015,1.99577,False
aze,2016,1.90638,False
aze,2017,1.88532,False
aze,2018,1.79525,False
aze,2019,1.83292,False
aze,2020,3.23114,False
aze,2021,1.55886,False
aze,2022,2.811568183178866,True
aze,2023,1.894852595597425,True
aze,2024,2.565693163096772,True
bdi,2000,10.9303,False
bdi,2001,10.31957,False
bdi,2002,9.82127,False
bdi,2003,9.36143,False
bdi,2004,9.02145,False
bdi,2005,8.41991,False
bdi,2006,8.14947,False
bdi,2007,7.66903,False
bdi,2008,7.23824,False
bdi,2009,7.28705,False
bdi,2010,7.31448,False
bdi,2011,7.20615,False
bdi,2012,7.07416,False
bdi,2013,7.04441,False
bdi,2014,7.07799,False
bdi,2015,6.88431,False
bdi,2016,6.98255,False
bdi,2017,6.97722,False
bdi,2018,6.93862,False
bdi,2019,6.88138,False
bdi,2020,6.67431,False
bdi,2021,7.65168,False
bdi,2022,7.945626357932036,True
bdi,2023,8.221987524040859,True
bdi,2024,8.481815523511045,True
bel,2000,22.06645,False
bel,2001,22.25492,False
bel,2002,20.96137,False
bel,2003,21.44371,False
bel,2004,20.31948,False
bel,2005,20.66397,False
