geo,electricity_generation_total_2014,electricity_generation_total_2022,pct_change
are,116544900000.0,155438500000.0,33.372202473038286
arg,138551150000.0,145619000000.0,5.101256828254403
aus,247647340000.0,272921740000.0,10.205803139254394
aut,65647580000.00001,69193240000.0,5.401052102758384
aze,24727700000.0,29039800000.0,17.438338381652965
bel,72545600000.0,95947800000.0,32.258607000286716
bgd,57688480000.0,100154590000.0,73.61280796443242
bgr,47489650000.0,50499300000.0,6.337486168038719
blr,34737000000.0,39717500000.0,14.337737858767309
bra,590542120000.0,677161560000.0,14.667783561314812
can,652952550000.0,664076550000.0,1.7036460000041351
che,71951950000.0,64217950000.0,-10.748840024488565
chl,71616380000.0,88040040000.0,22.932826261254757
chn,5794457000000.0,8848712000000.0,52.70994331306626
col,72747620000.0,89864970000.0,23.529773207700817
cyp,4352000000.0,5267930000.0,21.046185661764703
cze,86013490000.0,84701630000.0,-1.525179364306692
deu,626582520000.0,577852780000.0,-7.7770666184559385
dnk,32182550000.0,35123890000.0,9.139549227764736
dza,64241000000.0,91231000000.0,42.01366728413319
ecu,24307210000.0,33008300000.0,35.79633368041828
egy,171234280000.0,216710610000.0,26.557959072213812
esp,278750120000.0,292454000000.0,4.916188018143275
est,12430000000.0,8936850000.0,-28.10257441673371
fin,68093520000.0,72186830000.0,6.01130621533444
fra,565211220000.0,467180130000.0,-17.344151448373584
gbr,338095920000.0,324911800000.0,-3.8995205857556634
grc,50473290000.0,52670050000.0,4.352321792377712
hkg,39850060000.0,36420800000.0,-8.605407369524663
hrv,13552840000.0,14220500000.0,4.926347540441708
hun,29403000000.0,35801760000.0,21.76226915620855
idn,228555650000.0,333537000000.0,45.932511403677836
ind,1258688950000.0,1806148280000.0,43.49440979838585
irl,26318700000.0,34045220000.0,29.357529057286264
irn,275628000000.0,367073000000.0,33.17696315323552
irq,71172910000.0,131308210000.0,84.49183825699976
isl,18122210000.0,20120520000.0,11.026855996040217
isr,61330300000.0,75984500000.0,23.893899100444642
ita,279828500000.0,283953000000.0,1.4739385016179554
jpn,1062728820000.0,1040563920000.0,-2.0856590677572853
kaz,94643240000.0,113453170000.0,19.87456262063725
kor,540378800000.0,622585130000.0,15.212723000976352
kwt,65143300000.0,83544000000.0,28.246496569869812
lka,12867480000.0,17414180000.0,35.334813032544055
ltu,4396900000.0,4782800000.0,8.776638085924175
lux,2964980000.0,2258100000.0,-23.840970259495847
lva,5141000000.0,5030970000.0,-2.140245088504182
mar,29278500000.0,41155940000.0,40.567105555270935
mex,303315830000.0,340147220000.0,12.142917169868781
mkd,5373690000.0,5942460000.0,10.58434706877397
mys,147461000000.0,197673410000.0,34.051315263018694
nld,103417850000.0,121572850000.0,17.554996550402084
nor,141970000000.0,146730940000.0,3.353483130238783
nzl,43988090000.0,44694030000.0,1.6048434928636366
omn,29137090000.0,42510620000.0,45.89864670768426
pak,106287980000.0,146947840000.0,38.25442914617439
per,45549800000.0,59806780000.0,31.29976421411291
phl,77261000000.0,113284630000.0,46.6258914588214
pol,159058000000.0,179748120000.0,13.007909064617937
prt,52802130000.0,48808000000.0,-7.564334999364609
qat,38693000000.0,54623000000.0,41.17023751066085
rou,63284700000.0,55900160000.0,-11.668760379681029
rus,1064196500000.0,1166935250000.0,9.654114630145843
sau,328202450000.0,409838840000.0,24.873790552142435
sgp,49336870000.0,57113660000.0,15.76263350309819
svk,27401000000.0,26838000000.0,-2.0546695376081168
svn,17437000000.0,13615510000.0,-21.915983254000114
swe,153662000000.0,173142000000.0,12.67717457796983
tha,173764180000.0,180366090000.0,3.7993503609316948
tkm,20100000000.0,32600000000.0,62.189054726368155
tto,9423230000.0,9493240000.0,0.7429511961397525
tur,251962770000.0,328379340000.0,30.328516391528797
twn,259963940000.0,288185730000.0,10.856040264661322
ukr,182815400000.0,111504500000.0,-39.00705301632138
usa,4363281420000.0,4537725860000.0,3.9980102864875495
uzb,55400000000.0,74269300000.0,34.060108303249095
ven,130955360000.00002,76371930000.0,-41.68094379642041
vnm,141250000000.0,265110000000.0,87.68849557522124
zaf,254765000000.0,234910000000.0,-7.793456715011874
